ID,season,population,#GDL,type,long,lat
A57,1,1,LL,1,-0.384128,45.386666
A58,0,1,LL,2,-8.198399,13.989396
A59,0,1,LL,3,-5.864914,5.606998
A60,2,1,LL,4,4.812985,41.588518
A61,0,1,LM,0,7.53,47.62
A62,1,1,LM,1,-5.020606,32.667314
A63,1,1,LM,1,-10.861341,24.958195
A64,0,1,LM,2,-10.051829,25.613554
A65,0,1,LM,3,-7.432505,8.966441
B1,0,2,GC,0,11.83,44.58
B2,0,2,GC,2,3.128329,11.940653
B3,0,2,GC,3,5.16804,5.355938
B4,0,2,JK,0,11.83,44.58
B5,0,2,JK,2,0.958195,6.042371
B6,0,2,JK,3,0.539406,8.565033
B7,1,2,JK,1,12.155619,41.410643
B8,0,2,LB,0,11.83,44.58
B9,0,2,LB,2,-0.881924,9.257763
B10,0,2,LB,3,-1.015813,6.032948
B11,0,2,LC,0,11.83,44.58
B12,1,2,LC,1,12.542517,43.528625
B13,0,2,LC,2,0.692061,13.369667
B14,0,2,LC,3,-2.161326,9.300997
B15,2,2,LC,4,6.41713,38.363468
B16,0,2,LU,0,11.83,44.58
B17,1,2,LU,1,12.52025,43.492999
B18,1,2,LU,1,10.644877,38.147388
B19,0,2,LU,2,1.337265,12.781406
B20,0,2,LU,3,2.73777,8.009651
B21,0,2,MR,0,11.83,44.58
B22,1,2,MR,1,13.119128,42.820145
B23,1,2,MR,1,13.494969,33.031857
B24,0,2,MR,3,4.428436,8.836801
B25,2,2,MR,4,10.954546,19.224957
C1,0,3,DT,0,27.85,42.08
C2,1,3,DT,1,30.018916,37.097962
C3,0,3,EA,0,27.85,42.08
C4,1,3,EA,1,27.729005,41.110277
C5,1,3,EA,1,26.582996,40.628015
C6,0,3,EA,3,21.123707,2.781465
C7,0,3,GW,0,27.85,42.08
C8,0,3,GW,2,15.408568,9.425242
C9,0,3,GW,3,18.333724,3.755091
C10,0,3,GY,0,27.85,42.08
C11,1,3,GY,1,27.721531,38.201379
C12,1,3,GY,1,23.633148,30.674082
C13,1,3,GY,1,22.30337,32.198206
C14,1,3,GY,1,22.698616,10.750992
C15,0,3,GY,3,18.294326,6.081985
C16,0,3,HE,0,27.85,42.08
C17,1,3,HE,1,28.782588,35.558848
C18,1,3,HE,1,29.151507,28.675674
C19,1,3,HE,1,21.329155,27.511934
C20,0,3,HE,3,16.008037,9.503508
C21,2,3,HE,4,23.117962,30.565506
C22,0,3,HQ,0,27.85,42.08
C23,1,3,HQ,1,28.309363,34.653634
C24,1,3,HQ,1,19.3974,16.244444
C25,0,3,HQ,3,21.189845,8.643305
C26,0,3,IK,0,28.33,43.42
C27,1,3,IK,1,21.435099,36.427205
C28,0,3,IK,3,21.034837,9.279568
C29,0,3,JA,0,27.85,42.08
C30,0,3,JA,3,30.652598,2.217322
C31,0,3,JC,0,27.85,42.08
C32,1,3,JC,1,27.093369,33.465211
C33,1,3,JC,1,21.883122,23.888267
C34,0,3,JC,3,24.527277,10.243518
C35,2,3,JC,4,8.936063,32.334622
C36,0,3,KD,0,27.85,42.08
C37,1,3,KD,1,26.965594,36.98435
C38,1,3,KD,1,25.675922,34.758297
C39,0,3,KD,3,18.855051,12.255962
C40,2,3,KD,4,10.641665,32.307312
C41,0,3,KK,0,27.85,42.08
C42,1,3,KK,1,26.347588,42.100402
C43,1,3,KK,1,20.932356,16.932213
C44,0,3,KK,3,20.899478,9.098533
C45,2,3,KK,4,21.742489,30.908773
C46,2,3,KK,4,27.406436,39.357931
C47,0,3,KL,0,27.85,42.08
C48,0,3,KL,2,23.868666,11.603264
C49,0,3,KL,3,22.759863,9.757931
